t,u,v,w
2.94,-0.0394,0.002,-0.014850000000000002
2.95,-0.0394,0.002,-0.014850000000000002
2.96,-0.0212,0.0024,-0.014850000000000002
2.97,-0.0217,0.0024,-0.014850000000000002
2.98,-0.0168,0.0021,-0.014850000000000002
2.99,-0.0168,0.0054,-0.014850000000000002
3.0,-0.017,0.0054,-0.014850000000000002
3.01,-0.017,0.0054,-0.014850000000000002
3.02,-0.0168,0.0054,-0.014850000000000002
3.03,-0.0168,0.0054,-0.014850000000000002
3.04,-0.012,0.0054,-0.014850000000000002
3.05,-0.0324,0.0054,-0.014850000000000002
3.06,-0.0138,0.0054,-0.014850000000000002
3.07,-0.0076,0.0054,-0.014850000000000002
3.08,-0.0014,0.0054,-0.014850000000000002
3.09,-0.0593,0.0088,-0.014850000000000002
3.1,-0.0454,0.007,-0.014850000000000002
3.11,-0.0315,0.007,-0.014850000000000002
3.12,-0.0202,0.007,-0.014850000000000002
3.13,-0.0202,0.007,-0.014850000000000002
3.14,-0.0088,0.007,-0.014850000000000002
3.15,-0.0168,0.007,-0.014850000000000002
3.16,-0.0168,0.006,-0.014850000000000002
3.17,-0.0248,0.0051,-0.014850000000000002
3.18,-0.0264,-0.0046,-0.014850000000000002
3.19,-0.0264,-0.0046,-0.014850000000000002
3.2,-0.0264,-0.0046,-0.014850000000000002
3.21,-0.0264,-0.0046,-0.014850000000000002
3.22,-0.0264,-0.0046,-0.014850000000000002
3.23,-0.0264,-0.0046,-0.014850000000000002
3.24,-0.0264,-0.0142,-0.014850000000000002
3.25,-0.0264,-0.0292,-0.014850000000000002
3.26,-0.0264,-0.0292,-0.014850000000000002
3.27,-0.0264,-0.0292,-0.014850000000000002
3.28,-0.0281,-0.037,-0.014850000000000002
3.29,-0.0472,-0.0441,-0.014850000000000002
3.3,-0.0282,-0.0348,-0.014850000000000002
3.31,-0.0282,-0.0348,-0.0122
3.32,-0.0092,-0.0256,-0.0187
3.33,-0.026,0.0031,-0.0187
3.34,-0.026,0.0031,-0.0187
3.35,-0.026,0.0031,-0.0187
3.36,-0.026,0.0031,-0.0187
3.37,-0.026,0.0318,-0.0187
3.38,-0.026,0.0318,-0.0187
3.39,-0.0428,0.0111,-0.0187
3.4,-0.0622,0.0111,-0.0187
3.41,-0.0622,0.0111,-0.0187
3.42,-0.0816,0.0111,-0.0187
3.43,-0.0575,0.0111,-0.0187
3.44,-0.0575,-0.0096,-0.0252
3.45,-0.0334,-0.0145,-0.0252
3.46,-0.0297,0.0025,-0.0292
