t,u,v,w
2.31,0.4609,-0.0017,-0.01835
2.32,0.414,-0.0226,-0.01835
2.33,0.414,-0.0435,-0.01835
2.34,0.414,-0.03,-0.01835
2.35,0.414,-0.0172,-0.01835
2.36,0.414,0.004,-0.01835
2.37,0.414,0.004,-0.01835
2.38,0.414,0.0252,-0.01835
2.39,0.414,0.0195,-0.01835
2.4,0.414,0.0195,-0.01835
2.41,0.414,0.02,-0.01835
2.42,0.414,0.0195,-0.01835
2.43,0.414,0.0139,-0.01835
2.44,0.414,-0.0017,-0.01835
2.45,0.414,-0.0017,-0.01835
2.46,0.4434,-0.0174,-0.0321
2.47,0.3782,0.0113,-0.0175
2.48,0.3837,0.0113,-0.0175
2.49,0.3837,0.0113,-0.0175
2.5,0.3837,0.0401,-0.0175
2.51,0.3837,0.0188,-0.0175
2.52,0.3892,0.0188,-0.0175
2.53,0.4168,0.0188,-0.0175
2.54,0.4168,-0.0025,-0.0175
2.55,0.4444,-0.0324,-0.0175
2.56,0.4294,-0.0324,-0.0175
2.57,0.4145,-0.0324,-0.0175
2.58,0.3473,-0.0324,-0.0175
2.59,0.402,-0.0324,-0.0175
2.6,0.402,-0.0324,-0.0175
2.61,0.4567,-0.0324,-0.0175
2.62,0.3794,-0.0324,-0.0175
2.63,0.4401,-0.0324,-0.0175
2.64,0.5008,-0.0324,-0.0175
2.65,0.5008,-0.0324,-0.0175
2.66,0.5008,-0.0324,-0.0175
2.67,0.5008,-0.032,-0.0175
2.68,0.5008,-0.0324,-0.0175
2.69,0.5008,-0.0324,-0.0175
2.7,0.5008,-0.0324,-0.0175
2.71,0.5008,-0.0623,-0.0175
2.72,0.4171,-0.0277,-0.0175
2.73,0.4225,-0.0467,-0.0175
2.74,0.4159,-0.0135,-0.0175
2.75,0.4448,-0.0135,-0.0175
2.76,0.4448,-0.0135,-0.0175
2.77,0.445,-0.014,-0.017
2.78,0.445,-0.0135,-0.0175
2.79,0.4448,-0.0135,-0.0175
2.8,0.4736,-0.0135,-0.0175
2.81,0.5027,-0.0135,-0.0175
2.82,0.4131,-0.0135,-0.0175
2.83,0.3236,-0.0135,-0.0175
2.84,0.3236,-0.0135,-0.0175
2.85,0.3236,-0.0135,-0.0175
2.86,0.389,0.0197,-0.0175
2.87,0.4544,0.0028,-0.0175
2.88,0.4821,0.0028,-0.0175
2.89,0.4858,0.0028,-0.0175
2.9,0.4858,0.003,-0.0175
2.91,0.4858,0.003,-0.017
2.92,0.4858,0.0028,-0.017
2.93,0.4858,0.0028,-0.0175
2.94,0.4858,0.003,-0.0175
2.95,0.4858,0.003,-0.0175
2.96,0.4894,0.0028,-0.0175
2.97,0.4569,0.0028,-0.0175
2.98,0.4246,-0.0141,-0.0175
2.99,0.4246,0.0021,-0.0175
3,0.425,0.0021,-0.0175
3.01,0.425,0.0021,-0.0175
3.02,0.4246,0.0021,-0.0175
3.03,0.4246,0.0021,-0.0175
3.04,0.3924,0.0021,-0.0175
3.05,0.4131,0.0021,-0.0175
3.06,0.4046,0.0021,-0.0175
3.07,0.4096,0.0021,-0.0175
3.08,0.4146,0.0021,-0.0175
3.09,0.4926,0.0182,-0.0175
3.1,0.5706,0.0088,-0.0175
3.11,0.5188,0.0088,-0.0175
3.12,0.467,0.0088,-0.0175
3.13,0.4152,0.0088,-0.0175
3.14,0.4539,0.0088,-0.0175
3.15,0.4712,0.0088,-0.0175
3.16,0.4712,0.004,-0.0175
3.17,0.4884,-0.0007,-0.0175
3.18,0.5014,0.0051,-0.0175
3.19,0.5014,0.0051,-0.0175
3.2,0.5014,0.0051,-0.0175
3.21,0.5014,0.0051,-0.0175
3.22,0.5014,0.0051,-0.0175
3.23,0.5014,0.0051,-0.0175
3.24,0.5014,0.0108,-0.0175
3.25,0.5014,-0.0142,-0.0175
3.26,0.5014,-0.0142,-0.0175
3.27,0.5014,-0.0142,-0.0175
3.28,0.5144,-0.027,-0.0175
3.29,0.603,-0.0391,-0.0175
3.3,0.5127,-0.0441,-0.0175
3.31,0.5127,-0.0441,-0.0029
